pid,is_valid,valid_duration,total_duration,valid_portion
74,True,184996,184996,1.0
75,True,480982,480982,1.0
76,True,369993,369993,1.0
77,True,554991,554991,1.0
78,True,147997,147997,1.0
79,True,73999,73999,1.0
80,True,517987,517987,1.0
81,True,480990,480990,1.0
84,True,554990,554990,1.0
85,True,184996,184996,1.0
89,True,517994,517994,1.0
21,True,406994,406994,1.0
25,True,554989,554989,1.0
26,True,406991,406991,1.0
30,True,332995,369995,0.89999864863
31,True,147997,147997,1.0
36,True,147988,147988,1.0
91,True,480997,480997,1.0
1,True,369998,369998,1.0
9,True,332995,332995,1.0
12,True,369985,406984,0.909089792228
16,True,258997,332995,0.777780447154
18,True,369993,369993,1.0
19,True,517988,517988,1.0
90,True,443982,443982,1.0
52,True,517988,554987,0.933333573579
55,True,221995,332993,0.666665665645
58,True,332992,332992,1.0
59,True,147996,295991,0.500001689241
60,True,480989,517989,0.928569911716
61,True,443993,443993,1.0
93,False,147996,443981,0.333338588813
68,True,554977,554977,1.0
69,True,332993,332993,1.0
70,True,554990,554990,1.0
71,True,480990,554988,0.866667387403
72,False,37000,332996,0.111112445795
97,True,480967,554965,0.866661861559
38,True,332994,332994,1.0
40,True,332997,332997,1.0
42,True,554989,554989,1.0
45,True,554991,554991,1.0
46,True,554989,554989,1.0
50,True,147998,147998,1.0
92,True,406995,406995,1.0
62,True,295995,295995,1.0
63,True,369993,369993,1.0
64,True,517994,554993,0.933334294306
65,True,517992,554991,0.933334054066
66,True,480983,480983,1.0
67,True,554982,554982,1.0
95,True,517982,517982,1.0
