label,x,y,start,end,duration
saccade,49.03792291879654,43.20322871208191,1564666170370000.0,1564666170490000.0,120.0
fixation,49.35627119696659,43.35193504457889,1564666170500000.0,1564666170740000.0,240.0
saccade,49.65549856424332,43.72517615556717,1564666170720000.0,1564666170730000.0,10.0
fixation,49.77994570508599,43.86997679248452,1564666170740000.0,1564666170910000.0,170.0
saccade,49.809662997722626,43.30291897058487,1564666170890000.0,1564666170900000.0,10.0
fixation,49.788724444806576,43.120970856398344,1564666170910000.0,1564666171080000.0,170.0
saccade,18.967163562774658,69.32097971439362,1564666171110000.0,1564666171210000.0,100.0
fixation,18.605374409393832,69.32003687728535,1564666171220000.0,1564666171330000.0,110.0
saccade,8.184989914298058,74.10369217395782,1564666171420000.0,1564666171450000.0,30.0
fixation,8.116627710738353,74.37570329223361,1564666171460000.0,1564666171610000.0,150.0
saccade,8.358493447303772,74.35095608234406,1564666171590000.0,1564666171600000.0,10.0
fixation,7.1737174809511215,74.67418696199145,1564666171610000.0,1564666171910000.0,300.0
saccade,10.039142146706581,73.54631125926971,1564666172330000.0,1564666172890000.0,560.0
fixation,10.78848265882196,73.16259145736694,1564666172900000.0,1564666173210000.0,310.0
saccade,9.033337607979774,76.16373896598816,1564666173210000.0,1564666173240000.0,30.0
fixation,8.717550201849503,76.04790158344038,1564666173250000.0,1564666173610000.0,360.0
saccade,8.489562571048737,76.17321312427521,1564666173580000.0,1564666173600000.0,20.0
fixation,8.467915569516746,76.5075533227487,1564666173610000.0,1564666173840000.0,230.0
saccade,8.329598978161812,76.125568151474,1564666173820000.0,1564666173830000.0,10.0
fixation,8.021704480051994,76.01469712597984,1564666173840000.0,1564666174060000.0,220.0
saccade,5.735846608877182,66.81096255779266,1564666174200000.0,1564666174260000.0,60.0
fixation,5.342260226607323,65.52632709344228,1564666174270000.0,1564666174600000.0,330.0
saccade,5.541491322219372,65.52875339984894,1564666174570000.0,1564666174580000.0,10.0
fixation,5.562419203730921,65.07876391212146,1564666174600000.0,1564666174850000.0,250.0
saccade,5.408200621604919,64.76191878318787,1564666174830000.0,1564666174840000.0,10.0
fixation,5.449390897284383,64.88683107106581,1564666174850000.0,1564666175090000.0,240.0
saccade,5.7203639298677444,64.94229435920715,1564666175070000.0,1564666175080000.0,10.0
fixation,5.833847363564101,65.35996930165724,1564666175090000.0,1564666175210000.0,120.0
